token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
101112,ICICIPRULI29MAY25570PE,ICICIPRULI,29MAY2025,57000.000000,750,OPTSTK,NFO,5.000000
101120,ICICIPRULI29MAY25595CE,ICICIPRULI,29MAY2025,59500.000000,750,OPTSTK,NFO,5.000000
101158,IIFL31JUL25380PE,IIFL,31JUL2025,38000.000000,1650,OPTSTK,NFO,5.000000
101161,IIFL31JUL25400CE,IIFL,31JUL2025,40000.000000,1650,OPTSTK,NFO,5.000000
101126,ICICIPRULI29MAY25610CE,ICICIPRULI,29MAY2025,61000.000000,750,OPTSTK,NFO,5.000000
101121,ICICIPRULI29MAY25595PE,ICICIPRULI,29MAY2025,59500.000000,750,OPTSTK,NFO,5.000000
101198,ICICIPRULI29MAY25645CE,ICICIPRULI,29MAY2025,64500.000000,750,OPTSTK,NFO,5.000000
101238,ICICIPRULI29MAY25690CE,ICICIPRULI,29MAY2025,69000.000000,750,OPTSTK,NFO,5.000000
101205,ICICIPRULI29MAY25665CE,ICICIPRULI,29MAY2025,66500.000000,750,OPTSTK,NFO,5.000000
101201,ICICIPRULI29MAY25650PE,ICICIPRULI,29MAY2025,65000.000000,750,OPTSTK,NFO,5.000000
101389,LICI29MAY25800PE,LICI,29MAY2025,80000.000000,575,OPTSTK,NFO,5.000000
101382,LICI29MAY25740CE,LICI,29MAY2025,74000.000000,575,OPTSTK,NFO,5.000000
101401,LICI29MAY25920PE,LICI,29MAY2025,92000.000000,575,OPTSTK,NFO,5.000000
101282,INDHOTEL26JUN25730CE,INDHOTEL,26JUN2025,73000.000000,1000,OPTSTK,NFO,5.000000
101473,INDHOTEL31JUL25780CE,INDHOTEL,31JUL2025,78000.000000,1000,OPTSTK,NFO,5.000000
101478,INDHOTEL31JUL25800PE,INDHOTEL,31JUL2025,80000.000000,1000,OPTSTK,NFO,5.000000
101481,INDHOTEL31JUL25840CE,INDHOTEL,31JUL2025,84000.000000,1000,OPTSTK,NFO,5.000000
101402,LICI29MAY25940CE,LICI,29MAY2025,94000.000000,575,OPTSTK,NFO,5.000000
101583,ICICIPRULI26JUN25580CE,ICICIPRULI,26JUN2025,58000.000000,750,OPTSTK,NFO,5.000000
101635,LODHA29MAY251440PE,LODHA,29MAY2025,144000.000000,450,OPTSTK,NFO,5.000000
101626,LODHA29MAY251320CE,LODHA,29MAY2025,132000.000000,450,OPTSTK,NFO,5.000000
101620,LODHA29MAY251200CE,LODHA,29MAY2025,120000.000000,450,OPTSTK,NFO,5.000000
101659,INDIANB26JUN25590CE,INDIANB,26JUN2025,59000.000000,950,OPTSTK,NFO,5.000000
101648,ICICIPRULI26JUN25640PE,ICICIPRULI,26JUN2025,64000.000000,750,OPTSTK,NFO,5.000000
101649,ICICIPRULI26JUN25650CE,ICICIPRULI,26JUN2025,65000.000000,750,OPTSTK,NFO,5.000000
101655,INDIANB26JUN25570CE,INDIANB,26JUN2025,57000.000000,950,OPTSTK,NFO,5.000000
101664,INDIANB26JUN25630PE,INDIANB,26JUN2025,63000.000000,950,OPTSTK,NFO,5.000000
